epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2287.19,1.41259,1.15636,1.40588,0.77875,0.6697,0.75237,0.46684,1.42432,1.06857,1.49262,0.0065845,0.0065845,0.0065845
71,2319.82,1.41487,1.1779,1.40679,0.78342,0.69018,0.7756,0.4806,1.39062,1.0516,1.46951,0.006535,0.006535,0.006535
72,2353.01,1.44268,1.16153,1.40668,0.73881,0.62908,0.70282,0.42423,1.48719,1.25483,1.55111,0.0064855,0.0064855,0.0064855
73,2385.64,1.39925,1.1668,1.39764,0.76276,0.71409,0.76585,0.47132,1.43961,1.03032,1.49099,0.006436,0.006436,0.006436
74,2418.32,1.41498,1.17584,1.42245,0.73316,0.68951,0.76036,0.44786,1.47967,1.06687,1.5366,0.0063865,0.0063865,0.0063865
75,2451.3,1.39942,1.14594,1.39106,0.81071,0.68866,0.77534,0.4719,1.42226,1.01569,1.48325,0.006337,0.006337,0.006337
76,2484.43,1.40741,1.15396,1.40512,0.73966,0.71435,0.76039,0.46963,1.44414,1.06628,1.51365,0.0062875,0.0062875,0.0062875
77,2517.34,1.40953,1.15857,1.4101,0.78477,0.66456,0.75361,0.47012,1.40866,1.0322,1.4871,0.006238,0.006238,0.006238
78,2550.39,1.38104,1.13251,1.37163,0.76204,0.69786,0.76593,0.463,1.42705,1.02704,1.48614,0.0061885,0.0061885,0.0061885
79,2582.74,1.39291,1.10606,1.38538,0.75723,0.70086,0.76664,0.47483,1.4025,1.01288,1.47167,0.006139,0.006139,0.006139
80,2615.33,1.4334,1.15906,1.41158,0.79914,0.68133,0.76622,0.4811,1.41849,1.03195,1.47973,0.0060895,0.0060895,0.0060895
81,2647.88,1.38462,1.11399,1.3793,0.77266,0.6933,0.77059,0.47856,1.40662,1.04645,1.46316,0.00604,0.00604,0.00604
82,2680.47,1.38519,1.09233,1.37814,0.78684,0.68111,0.75722,0.46465,1.42389,1.04407,1.49279,0.0059905,0.0059905,0.0059905
